nb_shards,nb_requests,accuracy,retraining_time
5,0,0.974318641,0
5,1,0.973483997,29.41074824
5,2,0.974190235,28.89162946
5,3,0.974061828,58.12325454
5,4,0.973997624,85.82409286
5,5,0.973708709,116.657598
5,6,0.974382845,117.2211716
5,7,0.973612404,145.0585766
5,8,0.973419794,116.7254364
5,9,0.97277776,144.1233509
5,10,0.973580302,143.7162364
5,11,0.973355591,114.7059462
5,12,0.973740811,114.0262516
5,13,0.973259285,144.117934
5,14,0.972906167,142.4503915
5,15,0.973323489,143.3376849
,,,27.40650505
